time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1977-01-02T00:53:06.000Z,38.055,91.189,33,4.8,mb,,,,,us,usp0000m17,2014-11-06T23:21:39.193Z,"Xinjiang-Qinghai border region, China",earthquake,,,,,reviewed,us,us
1977-01-02T00:55:08.800Z,-6.955,129.511,171,5,mb,,,,,us,usp0000m18,2014-11-06T23:21:39.194Z,Banda Sea,earthquake,,,,,reviewed,us,us
1977-01-02T02:09:38.080Z,37.039,-121.4896667,7.808,3.56,md,74,52,0.01441,0.09,nc,nc1033065,2016-12-15T10:17:37.760Z,Northern California,earthquake,0.21,0.46,0.54,22,reviewed,nc,nc
1977-01-02T03:24:39.240Z,36.3838333,-120.5421667,13.691,3,md,22,220,0.2243,0.06,nc,nc1033068,2016-12-15T10:17:50.330Z,"18 km SW of Three Rocks, California",earthquake,0.51,1.06,0.29,5,reviewed,nc,nc
1977-01-02T06:48:15.000Z,12.023,143.617,33,4.9,mb,,,,,us,usp0000m1a,2014-11-06T23:21:39.196Z,"178 km SW of Merizo Village, Guam",earthquake,,,,,reviewed,us,us
1977-01-02T08:36:35.900Z,-17.514,167.712,33,4.7,mb,,,,,us,usp0000m1b,2014-11-06T23:21:39.197Z,"68 km WNW of Port-Vila, Vanuatu",earthquake,,,,,reviewed,us,us
1977-01-02T08:47:49.300Z,-17.51,167.713,33,4.7,mb,,,,,us,usp0000m1c,2014-11-06T23:21:39.198Z,"68 km WNW of Port-Vila, Vanuatu",earthquake,,,,,reviewed,us,us
1977-01-02T09:55:28.400Z,-10.17,118.987,19,6.3,ms,,,,,us,usp0000m1d,2022-04-27T16:38:47.945Z,"151 km WSW of Waingapu, Indonesia",earthquake,,,,,reviewed,us,us
1977-01-02T10:34:19.900Z,43.555,12.872,33,3.6,ml,,,,,us,usp0000m1e,2014-11-06T23:21:39.200Z,"2 km E of Pergola, Italy",earthquake,,,,,reviewed,us,rom
1977-01-02T12:59:21.400Z,63.117,-150.138,113,3.8,mb,,,,,us,usp0000m1f,2014-11-06T23:21:39.200Z,"67 km WSW of Cantwell, Alaska",earthquake,,,,,reviewed,us,us
1977-01-02T14:46:25.120Z,19.3363333,-155.1333333,7.555,2.68,ml,22,209,,0.09,hv,hv19770003,2020-03-31T18:10:26.340Z,"14 km S of Fern Forest, Hawaii",earthquake,0.86,0.6,0.21,2,reviewed,hv,hv
1977-01-02T14:55:12.780Z,40.3156667,-124.5166667,25.211,3.01,md,15,308,0.1919,0.04,nc,nc1033075,2016-12-15T10:18:15.654Z,"36 km SW of Ferndale, California",earthquake,3.68,1.47,,1,reviewed,nc,nc
1977-01-02T17:12:19.200Z,10.224,126.328,23,5.1,mb,,,,,us,usp0000m1h,2014-11-06T23:21:39.202Z,"38 km NE of Santa Monica, Philippines",earthquake,,,,,reviewed,us,us
1977-01-02T17:16:30.880Z,19.3351667,-155.1505,8.155,2.51,ml,21,210,,0.07,hv,hv19770004,2020-03-31T18:10:26.480Z,"14 km S of Fern Forest, Hawaii",earthquake,1.12,0.68,0.22,2,reviewed,hv,hv
1977-01-02T19:37:25.200Z,39.239,43.569,34,4.9,mb,,,,,us,usp0000m1k,2022-04-27T16:38:49.226Z,"29 km NE of Erci?, Turkey",earthquake,,,,,reviewed,us,us
1977-01-02T22:28:58.600Z,33.462,141.246,32,4.8,mb,,,,,us,usp0000m1m,2014-11-06T23:21:39.205Z,"205 km SSE of Katsuura, Japan",earthquake,,,,,reviewed,us,us
1977-01-03T00:21:36.900Z,-0.009,123.902,131,5.1,mb,,,,,us,usp0000m1n,2014-11-06T23:21:39.206Z,"111 km ESE of Gorontalo, Indonesia",earthquake,,,,,reviewed,us,us
1977-01-03T00:44:07.800Z,38.214,23.113,23,4.5,mb,,,,,us,usp0000m1p,2014-11-06T23:21:39.207Z,"9 km WSW of Kaparéllion, Greece",earthquake,,,,,reviewed,us,us
1977-01-03T01:34:34.200Z,51.429,-179.085,33,4.8,mb,,,,,us,usp0000m1q,2014-11-06T23:21:39.208Z,"176 km WSW of Adak, Alaska",earthquake,,,,,reviewed,us,us
1977-01-03T03:23:20.870Z,36.7966667,-121.3071667,8.153,3.21,md,43,41,0.02162,0.08,nc,nc1033080,2016-12-15T10:18:33.848Z,"1 km ENE of Tres Pinos, California",earthquake,0.19,0.35,0.24,7,reviewed,nc,nc
1977-01-03T06:15:50.000Z,6.699,60.293,33,5,mb,,,,,us,usp0000m1s,2014-11-06T23:21:39.210Z,Carlsberg Ridge,earthquake,,,,,reviewed,us,us
1977-01-03T06:41:07.800Z,7.231,60.173,33,4.8,mb,,,,,us,usp0000m1t,2014-11-06T23:21:39.211Z,Carlsberg Ridge,earthquake,,,,,reviewed,us,us
1977-01-03T07:33:03.050Z,19.383,-155.2468333,1.856,2.62,ml,15,127,,0.07,hv,hv19770008,2020-03-31T18:10:27.060Z,"6 km SSW of Volcano, Hawaii",earthquake,0.46,0.41,0.39,2,reviewed,hv,hv
1977-01-03T07:40:36.830Z,19.3788333,-155.2443333,2.066,2.85,ml,14,141,,0.11,hv,hv19770009,2020-03-31T18:10:27.210Z,"7 km S of Volcano, Hawaii",earthquake,0.42,0.38,0.16,4,reviewed,hv,hv
1977-01-03T08:56:13.500Z,-20.716,-68.553,136,4.9,mb,,,,,us,usp0000m1u,2014-11-06T23:21:39.212Z,"175 km WSW of Colchani, Bolivia",earthquake,,,,,reviewed,us,us
1977-01-03T10:05:15.300Z,-29.254,77.796,33,5.1,mb,,,,,us,usp0000m1v,2014-11-06T23:21:39.213Z,Mid-Indian Ridge,earthquake,,,,,reviewed,us,us
1977-01-03T13:53:14.200Z,-23.58,-179.96,540,5.1,mb,,,,,us,usp0000m1w,2014-11-06T23:21:39.214Z,south of the Fiji Islands,earthquake,,,,,reviewed,us,us
1977-01-03T14:20:00.100Z,39.592,-115.808,6,3.4,ml,,,,,us,usp0000m1x,2014-11-06T23:21:39.215Z,"15 km NE of Eureka, Nevada",earthquake,,,,,reviewed,us,gs
1977-01-03T15:23:10.200Z,-5.258,151.916,65,5,mb,,,,,us,usp0000m1z,2014-11-06T23:21:39.216Z,"108 km SSW of Kokopo, Papua New Guinea",earthquake,,,,,reviewed,us,us
1977-01-03T17:37:12.790Z,37.2816667,-121.6386667,6.388,2.8,md,42,89,0.03694,0.07,nc,nc1033084,2016-12-15T10:18:53.410Z,"16 km N of Morgan Hill, California",earthquake,0.22,0.42,0.46,8,reviewed,nc,nc
1977-01-03T21:49:40.400Z,35.3043333,-118.4686667,4.77,2.5,ml,16,140,0.1979,0.17,ci,ci3332271,2016-02-01T19:51:59.270Z,"19km N of Tehachapi, CA",earthquake,0.77,2.32,0.24,5,reviewed,ci,ci
1977-01-03T22:56:48.500Z,37.55,-89.79,5,3.4,mlg,,,,,nm,nm600517,2021-07-09T19:23:36.286Z,"7 km NW of Oak Ridge, Missouri",earthquake,,,,,reviewed,nm,nm
1977-01-04T01:24:16.380Z,19.3478333,-155.102,8.198,2.55,ml,26,94,,0.06,hv,hv19770013,2020-03-31T18:10:27.800Z,"13 km SSE of Fern Forest, Hawaii",earthquake,0.44,0.8,,1,reviewed,hv,hv
1977-01-04T02:06:25.500Z,41.132,131.503,531,4.1,mb,,,,,us,usp0000m22,2014-11-06T23:21:39.219Z,"157 km ESE of Hoemul-li, North Korea",earthquake,,,,,reviewed,us,us
1977-01-04T02:34:16.400Z,37.56,-89.75,5,2.6,mlg,,,,,nm,nm600521,2016-04-14T13:21:23.370Z,"5 km SW of Old Appleton, Missouri",earthquake,,,,,reviewed,nm,nm
1977-01-04T02:40:44.000Z,44.709,150.106,53,4.9,mb,,,,,us,usp0000m23,2014-11-06T23:21:39.219Z,"184 km ESE of Kuril’sk, Russia",earthquake,,,,,reviewed,us,us
1977-01-04T03:05:51.720Z,19.3965,-155.2601667,2.219,3.67,ml,27,87,,0.06,hv,hv19770014,2020-03-31T18:10:27.950Z,"5 km SSW of Volcano, Hawaii",earthquake,0.33,0.38,0.02,1,reviewed,hv,hv
1977-01-04T05:32:13.000Z,41.541,142.038,71,4.8,mb,,,,,us,usp0000m24,2014-11-06T23:21:39.220Z,"74 km ENE of Mutsu, Japan",earthquake,,,,,reviewed,us,us
1977-01-04T11:47:08.600Z,-1.478,126.799,33,4.9,mb,,,,,us,usp0000m25,2014-11-06T23:21:39.221Z,"259 km SSW of Sofifi, Indonesia",earthquake,,,,,reviewed,us,us
1977-01-04T11:57:10.380Z,19.3868333,-155.281,2.207,3.31,ml,31,61,,0.13,hv,hv19770016,2020-03-31T18:11:16.180Z,"7 km SW of Volcano, Hawaii",earthquake,0.27,0.4,0.64,2,reviewed,hv,hv
1977-01-04T13:50:46.690Z,35.8576667,-121.4281667,15.91,3.17,md,12,254,0.3135,0.06,nc,nc1033093,2016-12-15T10:19:31.230Z,"31 km NW of San Simeon, California",earthquake,1.95,0.68,0.13,3,reviewed,nc,nc
1977-01-04T13:51:49.450Z,35.8735,-121.3925,11.83,3.38,md,23,188,0.2955,0.12,nc,nc1033094,2016-12-15T10:19:34.813Z,"28 km WSW of Lockwood, California",earthquake,0.75,1.17,0.14,6,reviewed,nc,nc
1977-01-04T14:56:40.500Z,59.525,-152.994,119,4.2,mb,,,,,us,usp0000m26,2014-11-06T23:21:39.221Z,"63 km WNW of Nanwalek, Alaska",earthquake,,,,,reviewed,us,us
1977-01-04T14:56:46.100Z,15.294,-94.352,33,5.2,mb,,,,,us,usp0000m27,2014-11-06T23:21:39.223Z,"93 km SW of Cabeza de Toro, Mexico",earthquake,,,,,reviewed,us,us
1977-01-04T16:09:58.500Z,33.094,47.923,45,5.1,mb,,,,,us,usp0000m29,2022-04-27T16:38:50.435Z,"45 km SSW of Vas??n, Iran",earthquake,,,,,reviewed,us,us
1977-01-04T18:31:37.600Z,32.363,-106.921,5,3.2,ml,,,,,us,usp0000m2b,2014-11-06T23:21:39.225Z,"9 km NW of Fairacres, New Mexico",earthquake,,,,,reviewed,us,gs
1977-01-04T18:55:46.050Z,19.3905,-155.2788333,1.687,3.24,ml,13,71,,0.05,hv,hv19770017,2020-03-31T18:11:16.320Z,"7 km SW of Volcano, Hawaii",earthquake,0.31,0.34,0.52,2,reviewed,hv,hv
1977-01-04T20:23:38.660Z,20.0778333,-155.6445,15.249,2.96,ml,33,161,,0.09,hv,hv19770018,2020-03-31T18:11:16.470Z,"6 km NNE of Waimea, Hawaii",earthquake,0.79,3,0.06,4,reviewed,hv,hv
1977-01-04T20:44:39.400Z,-7.435,38.518,33,5.2,mb,,,,,us,usp0000m2c,2022-04-27T16:38:56.120Z,"39 km SW of Maneromango, Tanzania",earthquake,,,,,reviewed,us,us
1977-01-05T00:25:13.400Z,19.3843333,-155.245,2.716,3.64,ml,30,45,,0.08,hv,hv19770019,2020-03-31T18:11:16.610Z,"Island of Hawaii, Hawaii",earthquake,0.34,0.47,0.17,4,reviewed,hv,hv
1977-01-05T00:54:43.450Z,19.3853333,-155.2441667,2.136,2.82,ml,17,69,,0.05,hv,hv19770021,2020-03-31T18:11:16.910Z,"6 km S of Volcano, Hawaii",earthquake,0.43,0.5,0.13,2,reviewed,hv,hv
