time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1979-01-02T00:03:52.020Z,33.9301667,-118.6988333,12.52,2.96,ml,33,75,,0.26,ci,ci12228959,2016-02-01T21:55:09.510Z,"12km S of Malibu Beach, CA",earthquake,0.67,0.79,0.217,4,reviewed,ci,ci
1979-01-02T02:54:46.510Z,33.954,-118.7058333,11.62,2.57,ml,27,74,,0.24,ci,ci3345224,2016-04-01T21:41:50.265Z,"9km S of Malibu Beach, CA",earthquake,0.65,0.82,0.304,4,reviewed,ci,ci
1979-01-02T03:33:35.230Z,33.9323333,-118.7021667,11.74,2.57,ml,33,75,,0.27,ci,ci3345231,2016-04-02T13:48:05.478Z,"11km S of Malibu Beach, CA",earthquake,0.6,0.81,0.367,4,reviewed,ci,ci
1979-01-02T04:40:22.240Z,33.9595,-118.7085,13.35,2.51,ml,18,142,,0.2,ci,ci12229095,2016-02-01T22:11:48.910Z,"8km SSW of Malibu Beach, CA",earthquake,0.54,0.81,0.341,2,reviewed,ci,ci
1979-01-02T06:31:25.160Z,20.9558333,-156.0583333,9.802,3.77,ml,38,279,,0.1,hv,hv19790014,2020-03-31T20:41:59.520Z,"14 km NE of Wailua, Hawaii",earthquake,3.01,3.03,0.05,4,reviewed,hv,hv
1979-01-02T07:07:01.300Z,4.42,62.1,10,4.9,mb,,,,,us,usp0000y87,2014-11-06T23:21:55.592Z,Carlsberg Ridge,earthquake,,,,,reviewed,us,us
1979-01-02T07:15:51.410Z,33.9425,-118.6931667,10.15,2.88,ml,38,74,,0.27,ci,ci3345251,2016-04-02T16:59:45.707Z,"10km S of Malibu Beach, CA",earthquake,0.59,0.79,0.342,5,reviewed,ci,ci
1979-01-02T07:41:13.780Z,33.9248333,-118.703,12.73,3.44,ml,52,71,,0.36,ci,ci3345253,2016-04-02T13:47:54.687Z,"12km S of Malibu Beach, CA",earthquake,0.67,0.87,0.183,8,reviewed,ci,ci
1979-01-02T08:04:08.300Z,4.538,61.993,10,5,mb,,,,,us,usp0000y8a,2014-11-06T23:21:55.595Z,Carlsberg Ridge,earthquake,,,,,reviewed,us,us
1979-01-02T09:16:14.300Z,4.528,62.032,10,4.9,mb,,,,,us,usp0000y8b,2014-11-06T23:21:55.596Z,Carlsberg Ridge,earthquake,,,,,reviewed,us,us
1979-01-02T10:58:05.000Z,51.592,-173.299,35,4.8,mb,,,,,us,usp0000y8c,2014-11-06T23:21:55.597Z,"91 km SE of Atka, Alaska",earthquake,,,,,reviewed,us,us
1979-01-02T11:02:37.290Z,33.948,-118.7025,7.58,2.54,mh,28,119,,0.29,ci,ci3345264,2016-04-02T16:59:46.964Z,"10km S of Malibu Beach, CA",earthquake,0.8,1.43,0.29,13,reviewed,ci,ci
1979-01-02T12:26:55.430Z,31.7601667,-115.9565,6,3.04,ml,5,328,0.8968,0.42,ci,ci9690466,2016-02-01T21:55:15.630Z,"58km E of Maneadero, B.C., MX",earthquake,3.51,31.61,0.046,2,reviewed,ci,ci
1979-01-02T12:53:21.300Z,44.818,146.292,141,4.3,mb,,,,,us,usp0000y8e,2014-11-06T23:21:55.599Z,"89 km NNE of Otrada, Russia",earthquake,,,,,reviewed,us,us
1979-01-02T13:44:44.000Z,-29.017,-178.248,136,5.1,mb,,,,,us,usp0000y8f,2014-11-06T23:21:55.600Z,"Kermadec Islands, New Zealand",earthquake,,,,,reviewed,us,us
1979-01-02T13:53:50.800Z,51.679,-173.383,31,5.1,mb,,,,,us,usp0000y8g,2014-11-06T23:21:55.602Z,"80 km SE of Atka, Alaska",earthquake,,,,,reviewed,us,us
1979-01-02T13:55:51.500Z,51.601,-173.311,33,5.2,mb,,,,,us,usp0000y8h,2014-11-06T23:21:55.603Z,"90 km SE of Atka, Alaska",earthquake,,,,,reviewed,us,us
1979-01-02T14:11:19.400Z,33.939,-118.6931667,11.34,2.58,ml,23,144,,0.27,ci,ci12229119,2016-02-01T22:46:57.340Z,"10km S of Malibu Beach, CA",earthquake,0.72,1.07,0.395,3,reviewed,ci,ci
1979-01-02T15:03:39.750Z,19.3458333,-155.0398333,7.773,2.84,ml,37,152,,0.1,hv,hv19790019,2020-03-31T20:42:00.320Z,"16 km SE of Fern Forest, Hawaii",earthquake,0.59,0.41,0.08,2,reviewed,hv,hv
