time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1955-01-02T03:35:20.050Z,32.7775,-118.1558333,6,3.36,ml,4,266,1.254,0.33,ci,ci3297999,2016-01-28T17:59:52.540Z,"18km ESE of San Clemente Is. (SE tip), CA",earthquake,2.29,31.61,0.134,8,reviewed,ci,ci
1955-01-03T01:07:07.240Z,39.176,22.154,15,5.55,mw,,,,,iscgem,iscgem889076,2022-04-26T17:30:11.362Z,"5 km ESE of Anávra, Greece",earthquake,,5.6,0.33,,reviewed,iscgem,iscgem
1955-01-03T18:41:53.610Z,-15.231,-75.693,25,6.06,mw,,,,,iscgem,iscgem889077,2022-04-26T17:30:18.006Z,near the coast of central Peru,earthquake,,3.9,0.36,,reviewed,iscgem,iscgem
1955-01-04T04:47:54.080Z,36.0841667,-117.9271667,1.47,3.18,ml,6,181,0.0549,0.35,ci,ci3298002,2016-01-28T18:22:48.680Z,"5km NNE of Coso Junction, CA",earthquake,1.34,1.57,0.094,8,reviewed,ci,ci
1955-01-05T00:50:21.640Z,-50.075,162.851,15,7,mw,,,,,iscgem,iscgem889080,2022-04-26T17:30:24.471Z,"Auckland Islands, New Zealand region",earthquake,,4.5,0.21,,reviewed,iscgem,iscgem
1955-01-05T15:28:26.510Z,54.518,161.913,35,5.77,mw,,,,,iscgem,iscgem889082,2022-04-26T17:30:30.054Z,"189 km SE of Atlasovo, Russia",earthquake,,4.7,0.27,,reviewed,iscgem,iscgem
1955-01-05T17:48:40.710Z,-16.395,167.621,15,6.63,mw,,,,,iscgem,iscgem889084,2022-04-26T17:30:31.861Z,"39 km SE of Lakatoro, Vanuatu",earthquake,,10.5,0.23,,reviewed,iscgem,iscgem
1955-01-05T23:42:10.770Z,-16.113,167.768,15,6.5,mw,,,,,iscgem,iscgem889085,2022-04-26T17:30:37.589Z,"37 km E of Lakatoro, Vanuatu",earthquake,,18.6,0.2,,reviewed,iscgem,iscgem
1955-01-06T02:22:45.310Z,-16.171,167.585,35,6.2,mw,,,,,iscgem,iscgem889086,2022-04-26T17:30:39.285Z,"19 km ESE of Lakatoro, Vanuatu",earthquake,,16.4,0.2,,reviewed,iscgem,iscgem
1955-01-07T03:36:00.760Z,35.6821667,-118.1545,0,3.09,ml,9,138,0.2609,0.46,ci,ci3298003,2016-01-28T17:55:31.910Z,"26km ESE of Kernville, CA",earthquake,0.87,1.97,0.107,11,reviewed,ci,ci
1955-01-07T09:44:31.210Z,-16.773,77.531,15,6.01,mw,,,,,iscgem,iscgem889091,2022-04-26T17:30:44.841Z,South Indian Ocean,earthquake,,25,0.21,,reviewed,iscgem,iscgem
1955-01-07T14:59:20.350Z,34.1775,-119.7746667,6,2.97,ml,7,242,1.147,0.39,ci,ci3298004,2016-01-28T18:27:32.580Z,"18km NE of Santa Cruz Is. (NW end), CA",earthquake,2.24,31.61,0.252,7,reviewed,ci,ci
1955-01-07T15:38:17.330Z,31.7526667,-115.1068333,6,4.07,ml,4,340,1.617,0.84,ci,ci3298005,2016-01-28T17:59:53.080Z,"50km SSW of Estacion Coahuila, B.C., MX",earthquake,24.17,31.61,0.093,6,reviewed,ci,ci
1955-01-08T07:33:44.260Z,-11.8,166.353,62.7,6.57,mw,,,,,iscgem,iscgem889092,2022-04-26T17:30:50.717Z,"133 km SSE of Lata, Solomon Islands",earthquake,,5.3,0.2,,reviewed,iscgem,iscgem
1955-01-08T07:53:04.170Z,39.107,22.185,15,5.58,mw,,,,,iscgem,iscgem889093,2022-04-26T17:30:55.846Z,"7 km W of Omvriakí, Greece",earthquake,,5.6,0.2,,reviewed,iscgem,iscgem
1955-01-09T09:10:50.000Z,39,-118,,5,ml,,,,,ushis,ushis2005,2018-06-04T20:43:44.000Z,"16 km NNW of Gabbs, Nevada",earthquake,,,,,reviewed,ushis,brk
1955-01-11T10:21:40.000Z,39,-118,,4.7,ml,,,,,ushis,ushis2006,2018-06-04T20:43:44.000Z,"16 km NNW of Gabbs, Nevada",earthquake,,,,,reviewed,ushis,brk
1955-01-13T02:03:48.850Z,53.141,-167.701,17.6,6.82,mw,,,,,iscgem,iscgem889117,2022-04-26T17:31:00.965Z,"81 km ENE of Nikolski, Alaska",earthquake,,3.7,0.28,,reviewed,iscgem,iscgem
1955-01-13T02:35:51.810Z,53.031,-167.613,40,6.45,mw,,,,,iscgem,iscgem889118,2022-04-26T17:31:06.836Z,"84 km E of Nikolski, Alaska",earthquake,,5.1,0.44,,reviewed,iscgem,iscgem
1955-01-13T02:58:46.940Z,33.3388333,-118.2535,6,2.61,ml,5,276,0.8104,0.37,ci,ci3298011,2016-01-28T18:27:33.070Z,"7km E of Avalon, CA",earthquake,1.93,31.61,0.03,3,reviewed,ci,ci
1955-01-13T04:17:36.080Z,33.3995,-118.2126667,6,2.55,ml,8,40,0.7478,0.69,ci,ci3298012,2016-01-28T17:59:54.030Z,"12km ENE of Avalon, CA",earthquake,2.65,31.61,0.107,5,reviewed,ci,ci
1955-01-13T05:13:49.820Z,33.4126667,-118.2126667,6,2.88,ml,8,40,0.7347,0.75,ci,ci3298013,2016-01-28T17:55:32.440Z,"13km NE of Avalon, CA",earthquake,2.74,31.61,0.104,5,reviewed,ci,ci
1955-01-13T23:35:47.900Z,32.9866667,-116.3491667,6,3.27,ml,7,242,0.4092,0.46,ci,ci3298014,2016-01-28T18:27:33.560Z,"25km NE of Pine Valley, CA",earthquake,2.43,31.61,0.116,7,reviewed,ci,ci
1955-01-15T01:03:06.840Z,34.955,-118.992,9.55,4.28,ml,12,91,0.1124,0.4,ci,ci3298015,2016-01-28T18:13:49.200Z,"6km WNW of Grapevine, CA",earthquake,0.69,1.16,0.136,10,reviewed,ci,ci
1955-01-15T03:03:43.610Z,34.9371667,-118.9766667,6,3.52,ml,10,95,0.09078,0.29,ci,ci3298016,2016-01-28T18:22:49.180Z,"4km W of Grapevine, CA",earthquake,0.58,31.61,0.066,10,reviewed,ci,ci
