time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-05-02T00:02:02.450Z,-15.9894,-15.5616,10,4.8,mb,,136,22.356,0.56,us,us1000e1bu,2018-07-27T20:20:32.040Z,southern Mid-Atlantic Ridge,earthquake,14.2,1.9,0.119,22,reviewed,us,us
2018-05-02T00:04:52.310Z,35.1647,23.0364,10,4.5,mb,,63,1.522,0.98,us,us1000dvmx,2018-07-27T20:20:32.040Z,"59 km W of Palaióchora, Greece",earthquake,7.2,1.9,0.059,83,reviewed,us,us
2018-05-02T00:17:12.710Z,-24.2467,-111.8303,10,5.5,mww,,143,3.617,0.69,us,us1000dvnc,2018-07-27T20:20:32.040Z,Easter Island region,earthquake,12,1.9,0.071,19,reviewed,us,us
2018-05-02T00:18:27.980Z,16.7035,-99.6702,10,3.4,ml,,283,1.357,0.79,us,us1000dvnw,2018-07-27T20:20:32.040Z,"4 km WNW of San Andrés Playa Encantada (El Podrido), Mexico",earthquake,7.6,2,0.128,8,reviewed,us,us
2018-05-02T00:33:12.785Z,58.3403,-154.7823,99.8,2.5,ml,,,,0.68,ak,ak0185lrrfv2,2023-07-07T16:58:50.874Z,"88 km NNW of Karluk, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2018-05-02T00:52:10.730Z,19.4455,-67.7185,77,3.35,md,4,250,1.5625,0.27,pr,pr2018122000,2018-07-27T20:20:35.040Z,"119 km NE of Punta Cana, Dominican Republic",earthquake,6.94,12.52,0.08,2,reviewed,pr,pr
2018-05-02T00:55:19.470Z,33.2049,138.1112,323.59,4.2,mb,,86,1.405,0.94,us,us1000dvp2,2018-07-27T20:20:32.040Z,"155 km S of ?yama, Japan",earthquake,8.7,7.1,0.065,66,reviewed,us,us
2018-05-02T02:24:20.840Z,38.819,-122.82,2.55,2.77,md,74,24,0.00891,0.05,nc,nc73009206,2018-05-05T05:21:04.272Z,"7km NW of The Geysers, CA",earthquake,0.11,0.16,0.112,51,reviewed,nc,nc
2018-05-02T02:51:54.690Z,55.9164,-150.0065,10,2.9,ml,,235,2.238,0.67,us,us1000dye6,2023-07-07T16:59:04.366Z,"234 km SE of Chiniak, Alaska",earthquake,8.4,2,0.064,32,reviewed,us,us
2018-05-02T03:25:12.200Z,36.7865,-98.3254,5,2.8,ml,,91,,0.59,us,us1000dvq9,2018-07-27T20:20:35.040Z,"4 km NE of Cherokee, Oklahoma",earthquake,1.5,5.5,,,reviewed,tul,tul
2018-05-02T03:33:45.560Z,19.3393326,-154.9451599,-0.66,2.55,ml,33,265,0.1378,0.14,hv,hv70105326,2018-07-27T20:20:35.040Z,"14 km SSW of Leilani Estates, Hawaii",earthquake,1.79,0.64,4.38,3,automatic,hv,hv
2018-05-02T03:44:25.740Z,18.1918,-67.7263,119,3.09,md,7,316,0.644,0.11,pr,pr2018122001,2018-07-27T20:20:36.040Z,"52 km WSW of Stella, Puerto Rico",earthquake,1.89,0.82,0.17,5,reviewed,pr,pr
2018-05-02T03:59:29.480Z,19.3153333,-155.1316667,0.66,2.66,ml,9,130,0.02942,0.11,hv,hv70105386,2018-07-27T20:20:35.040Z,"16 km S of Fern Forest, Hawaii",earthquake,0.56,0.76,0.143,29,reviewed,hv,hv
2018-05-02T04:00:04.970Z,19.3081667,-154.9736667,8.43,3.38,ml,13,237,0.1281,0.11,hv,hv70105391,2018-07-27T20:20:35.040Z,"18 km SSW of Leilani Estates, Hawaii",earthquake,1.14,2.31,0.18,40,reviewed,hv,hv
2018-05-02T04:04:37.540Z,34.6536,24.2302,10,4.4,mb,,113,0.833,0.89,us,us1000dvqq,2022-08-08T04:09:32.190Z,"24 km SSE of Kastrí, Greece",earthquake,6.3,1.9,0.062,77,reviewed,us,us
